"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"5f4345da-cdd9-436b-b9d4-9ffa6d5f4fbc","dorvm6vtatvrtt.tei.xml","viminacio","from=/TEI[1]/text[1]/body[1]/div[3]/p[5]::219;to=/TEI[1]/text[1]/body[1]/div[3]/p[5]::228","PLACE","http://pleiades.stoa.org/places/207549","Viminacium|Viminacium/Viminatium, Stari Kostolac","-0030/2100","44.736776","21.216122","settlement","VERIFIED","@cert:high","","",""
"10767850-d8bd-4122-ad92-d2fed0348124","dorvm6vtatvrtt.tei.xml","ad nonum","from=/TEI[1]/text[1]/body[1]/div[3]/p[7]::8;to=/TEI[1]/text[1]/body[1]/div[3]/p[7]::16","PLACE","http://pleiades.stoa.org/places/206887","Ad Nonum|Ad Nonum, Nabrđe, Požarevac","-0030/0640","44.625633","21.252172","labeled feature","VERIFIED","@cert:high","","",""
"b94a0bf5-884a-4369-bcf4-a4a3608ddefa","dorvm6vtatvrtt.tei.xml","munecipio","from=/TEI[1]/text[1]/body[1]/div[3]/p[7]::42;to=/TEI[1]/text[1]/body[1]/div[3]/p[7]::51","PLACE","http://pleiades.stoa.org/places/207296","Municipium|Municipium, Kalište, Malo Crniće","-0030/0640","44.514234","21.320729","station","VERIFIED","@cert:high","","",""
"c3b3cd3d-8807-4dfd-8e47-7f6fbd231c7d","dorvm6vtatvrtt.tei.xml","iouis pago","from=/TEI[1]/text[1]/body[1]/div[3]/p[7]::72;to=/TEI[1]/text[1]/body[1]/div[3]/p[7]::82","PLACE","http://pleiades.stoa.org/places/207189","Iovis Pagus|Iovis Pagus, Veliki Popovac","-0030/0640","44.411467","21.32354","station","VERIFIED","@cert:high","","",""
"6013dad7-2030-4a9b-9345-46f14b52afae","dorvm6vtatvrtt.tei.xml","bao","from=/TEI[1]/text[1]/body[1]/div[3]/p[7]::99;to=/TEI[1]/text[1]/body[1]/div[3]/p[7]::102","PLACE","http://pleiades.stoa.org/places/206958","‘Bao’|‘Bao’, Veliko Laole?","-0030/0640","44.317278","21.43527","station","VERIFIED","@cert:high","","",""
"efb9272e-694a-475d-9429-c4067d654c46","dorvm6vtatvrtt.tei.xml","idomo","from=/TEI[1]/text[1]/body[1]/div[3]/p[7]::120;to=/TEI[1]/text[1]/body[1]/div[3]/p[7]::125","PLACE","http://pleiades.stoa.org/places/207183","Idimum|Idimum, Medveđa","-0030/0640","44.148941","21.345266","station","VERIFIED","@cert:high","","",""
"05cf9dcf-da15-4ae0-9f2c-203348bd98f9","dorvm6vtatvrtt.tei.xml","ad octauum","from=/TEI[1]/text[1]/body[1]/div[3]/p[7]::146;to=/TEI[1]/text[1]/body[1]/div[3]/p[7]::156","PLACE","http://pleiades.stoa.org/places/206889","Ad Octavum|Ad Octavum, Glogovac?","-0030/0640","44.042641","21.313576","station","VERIFIED","@cert:high","","",""
"3f2961a0-bea0-414d-bfaf-ec6ae932db79","dorvm6vtatvrtt.tei.xml","oromago","from=/TEI[1]/text[1]/body[1]/div[3]/p[7]::176;to=/TEI[1]/text[1]/body[1]/div[3]/p[7]::183","PLACE","http://pleiades.stoa.org/places/207173","Horreum Margi|Horreum Margi, Ćuprija","-0030/0640","43.93376","21.37044","settlement","VERIFIED","@cert:high","","",""
"b0f2b245-8aed-41d5-9d51-f50f71dc1cab","dorvm6vtatvrtt.tei.xml","myssiae","from=/TEI[1]/text[1]/body[1]/div[3]/p[8]::6;to=/TEI[1]/text[1]/body[1]/div[3]/p[8]::13","PLACE","http://pleiades.stoa.org/places/992077","Moesiae","","42.5","22.5","province","VERIFIED","@cert:high","","",""
"f79cad84-5d28-41db-a04d-e6b1a62f8233","dorvm6vtatvrtt.tei.xml","asiae","from=/TEI[1]/text[1]/body[1]/div[3]/p[8]::17;to=/TEI[1]/text[1]/body[1]/div[3]/p[8]::22","PLACE","","","","","","","UNVERIFIED","@cert:unknown","","",""
